,Ticker,Company,Sector,Industry
34,FIXD,First Trust Smith Opportunistic Fixed Income ETF,Financial,Exchange Traded Fund
35,FLN,First Trust Latin America AlphaDEX Fund,Financial,Exchange Traded Fund
36,FMB,First Trust Managed Municipal ETF,Financial,Exchange Traded Fund
37,FNX,First Trust Mid Cap Core AlphaDEX Fund,Financial,Exchange Traded Fund
38,FOXA,Fox Corporation,Communication Services,Entertainment
39,FSFG,First Savings Financial Group Inc,Financial,Banks - Regional
40,FTXH,First Trust Nasdaq Pharmaceuticals ETF,Financial,Exchange Traded Fund
41,FYC,First Trust Small Cap Growth AlphaDEX Fund,Financial,Exchange Traded Fund
42,GAIA,Gaia Inc,Communication Services,Entertainment
43,GCBC,Greene County Bancorp Inc,Financial,Banks - Regional
44,GNTX,Gentex Corp,Consumer Cyclical,Auto Parts
45,HBT,HBT Financial Inc,Financial,Banks - Regional
46,HERZ,Herzfeld Credit Income Fund Inc,Financial,Asset Management
47,HGBL,Heritage Global Inc,Financial,Capital Markets
48,HNDL,Nasdaq 7HANDL Index ETF 1.23x Shares,Financial,Exchange Traded Fund
49,HST,Host Hotels & Resorts Inc,Real Estate,REIT - Hotel & Motel
50,HTBK,Heritage Commerce Corp,Financial,Banks - Regional
51,HTLD,"Heartland Express, Inc",Industrials,Trucking
52,HURN,Huron Consulting Group Inc,Industrials,Consulting Services
53,HYLS,First Trust Tactical High Yield ETF,Financial,Exchange Traded Fund
54,ICCC,Immucell Corp,Healthcare,Biotechnology
55,IEUS,iShares MSCI Europe Small-Cap ETF,Financial,Exchange Traded Fund
56,ILLR,Triller Group Inc,Technology,Software - Application
57,ISBA,Isabella Bank Corp,Financial,Banks - Regional
58,ISHP,First Trust S-Network E-Commerce ETF,Financial,Exchange Traded Fund
59,KBWB,Invesco KBW Bank ETF,Financial,Exchange Traded Fund
60,KBWD,Invesco KBW High Dividend Yield Financial ETF,Financial,Exchange Traded Fund
61,KRMA,Global X Conscious Companies ETF,Financial,Exchange Traded Fund
62,LFUS,"Littelfuse, Inc",Technology,Electronic Components
63,LVHD,Franklin U.S. Low Volatility High Dividend Index ETF,Financial,Exchange Traded Fund
64,MBUU,Malibu Boats Inc,Consumer Cyclical,Recreational Vehicles
65,MCRI,"Monarch Casino & Resort, Inc",Consumer Cyclical,Resorts & Casinos
66,MDLZ,Mondelez International Inc,Consumer Defensive,Confectioners
67,MNKD,Mannkind Corp,Healthcare,Biotechnology
68,MNSB,MainStreet Bancshares Inc,Financial,Banks - Regional
69,MNST,Monster Beverage Corp,Consumer Defensive,Beverages - Non-Alcoholic
70,MPB,"Mid Penn Bancorp, Inc",Financial,Banks - Regional
71,NDSN,Nordson Corp,Industrials,Specialty Industrial Machinery
72,NWBI,Northwest Bancshares Inc,Financial,Banks - Regional
73,NWE,NorthWestern Energy Group Inc,Utilities,Utilities - Regulated Electric
74,NZAC,SPDR MSCI ACWI Climate Paris Aligned ETF,Financial,Exchange Traded Fund
75,ODFL,"Old Dominion Freight Line, Inc",Industrials,Trucking
76,ORKA,Oruka Therapeutics Inc,Healthcare,Biotechnology
77,OSBC,Old Second Bancorporation Inc,Financial,Banks - Regional
78,OSW,OneSpaWorld Holdings Limited,Consumer Cyclical,Leisure
79,OVLY,Oak Valley Bancorp,Financial,Banks - Regional
80,OXLC,Oxford Lane Capital Corp,Financial,Closed-End Fund - Debt
81,PDBC,Invesco Optimum Yield Diversified Commodity Strategy No K-1 ETF,Financial,Exchange Traded Fund
82,PENN,PENN Entertainment Inc,Consumer Cyclical,Resorts & Casinos
83,PEP,PepsiCo Inc,Consumer Defensive,Beverages - Non-Alcoholic
84,PFIS,Peoples Financial Services Corp,Financial,Banks - Regional
85,PGJ,Invesco Golden Dragon China ETF,Financial,Exchange Traded Fund
86,PHO,Invesco Water Resources ETF,Financial,Exchange Traded Fund
87,PPH,VanEck Pharmaceutical ETF,Financial,Exchange Traded Fund
88,PSCH,Invesco S&P SmallCap Health Care ETF,Financial,Exchange Traded Fund
89,PTNQ,Pacer Trendpilot 100 ETF,Financial,Exchange Traded Fund
90,QQQ,Invesco QQQ Trust Series 1,Financial,Exchange Traded Fund
91,QTEC,First Trust NASDAQ-100 Technology Sector Index Fund,Financial,Exchange Traded Fund
92,RBCAA,"Republic Bancorp, Inc. (KY)",Financial,Banks - Regional
93,RGEN,Repligen Corp,Healthcare,Medical Instruments & Supplies
94,RMNI,Rimini Street Inc,Technology,Software - Application
95,ROAD,Construction Partners Inc,Industrials,Engineering & Construction
96,ROST,"Ross Stores, Inc",Consumer Cyclical,Apparel Retail
97,SAFT,"Safety Insurance Group, Inc",Financial,Insurance - Property & Casualty
98,SBUX,Starbucks Corp,Consumer Cyclical,Restaurants
99,SCVL,"Shoe Carnival, Inc",Consumer Cyclical,Apparel Retail
100,SIMO,Silicon Motion Technology Corp ADR,Technology,Semiconductors
101,SQQQ,ProShares UltraPro Short QQQ -3x Shares,Financial,Exchange Traded Fund
102,STRR,Star Equity Holdings Inc,Industrials,Conglomerates
103,TAYD,Taylor Devices Inc,Industrials,Specialty Industrial Machinery
104,TCBK,Trico Bancshares,Financial,Banks - Regional
105,TLT,iShares 20+ Year Treasury Bond ETF,Financial,Exchange Traded Fund
106,TTWO,"Take-Two Interactive Software, Inc",Communication Services,Electronic Gaming & Multimedia
107,UAL,United Airlines Holdings Inc,Industrials,Airlines
108,USTB,VictoryShares Short-Term Bond ETF,Financial,Exchange Traded Fund
109,VCSH,Vanguard Short-Term Corporate Bond ETF,Financial,Exchange Traded Fund
110,VRSN,Verisign Inc,Technology,Software - Infrastructure
111,VSMV,VictoryShares US Multi-Factor Minimum Volatility ETF,Financial,Exchange Traded Fund
112,VTHR,Vanguard Russell 3000 Index ETF,Financial,Exchange Traded Fund
113,WHF,WhiteHorse Finance Inc,Financial,Asset Management
114,WINA,Winmark Corporation,Consumer Cyclical,Specialty Retail
115,WVVI,Willamette Valley Vineyard Inc,Consumer Defensive,Beverages - Wineries & Distilleries
116,XRAY,DENTSPLY Sirona Inc,Healthcare,Medical Instruments & Supplies
117,YLDE,Franklin ClearBridge Enhanced Income ETF,Financial,Exchange Traded Fund
0,AACG,ATA Creativity Global ADR,Consumer Defensive,Education & Training Services
1,AAOI,Applied Optoelectronics Inc,Technology,Communication Equipment
2,ACIW,ACI Worldwide Inc,Technology,Software - Infrastructure
3,ADBE,Adobe Inc,Technology,Software - Application
4,ADI,Analog Devices Inc,Technology,Semiconductors
5,AFYA,Afya Ltd,Consumer Defensive,Education & Training Services
6,AGPU,Axe Compute Inc,Healthcare,Health Information Services
7,AIHS,Senmiao Technology Ltd,Industrials,Rental & Leasing Services
8,AMBA,Ambarella Inc,Technology,Semiconductor Equipment & Materials
9,AMRX,Amneal Pharmaceuticals Inc,Healthcare,Drug Manufacturers - Specialty & Generic
10,AMSF,Amerisafe Inc,Financial,Insurance - Specialty
11,AMZN,Amazon.com Inc,Consumer Cyclical,Internet Retail
12,AREC,American Resources Corporation,Basic Materials,Coking Coal
13,ASYS,Amtech Systems Inc,Technology,Semiconductor Equipment & Materials
14,AVGO,Broadcom Inc,Technology,Semiconductors
15,AZN,Astrazeneca plc ADR,Healthcare,Drug Manufacturers - General
16,BANX,ArrowMark Financial Corp,Financial,Closed-End Fund - Debt
17,BATRK,Atlanta Braves Holdings Inc,Communication Services,Entertainment
18,BCYC,Bicycle Therapeutics Plc ADR,Healthcare,Biotechnology
19,BDRX,Biodexa Pharmaceuticals Plc ADR,Healthcare,Biotechnology
20,BELFB,Bel Fuse Inc,Technology,Electronic Components
21,BHF,Brighthouse Financial Inc,Financial,Insurance - Life
22,BIOX,Bioceres Crop Solutions Corp,Basic Materials,Agricultural Inputs
23,BKR,Baker Hughes Co,Energy,Oil & Gas Equipment & Services
24,BSET,Bassett Furniture Industries Inc,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
25,BTAI,BioXcel Therapeutics Inc,Healthcare,Biotechnology
26,BVFL,BV Financial Inc,Financial,Banks - Regional
27,CCOI,Cogent Communications Holdings Inc,Communication Services,Telecom Services
28,CCRN,"Cross Country Healthcares, Inc",Healthcare,Medical Care Facilities
29,CDXS,Codexis Inc,Healthcare,Biotechnology
30,CELH,Celsius Holdings Inc,Consumer Defensive,Beverages - Non-Alcoholic
31,CFFI,C & F Financial Corp,Financial,Banks - Regional
32,CGBD,Carlyle Secured Lending Inc,Financial,Asset Management
33,CHMG,Chemung Financial Corp,Financial,Banks - Regional
34,CLNE,Clean Energy Fuels Corp,Energy,Oil & Gas Refining & Marketing
35,CNOB,ConnectOne Bancorp Inc,Financial,Banks - Regional
36,CODA,Coda Octopus Group Inc,Industrials,Aerospace & Defense
37,CODX,Co-Diagnostics Inc,Healthcare,Medical Devices
38,CPRT,"Copart, Inc",Industrials,Specialty Business Services
39,CTRN,Citi Trends Inc,Consumer Cyclical,Apparel Retail
40,CVGW,"Calavo Growers, Inc",Consumer Defensive,Food Distribution
41,CVLT,Commvault Systems Inc,Technology,Software - Application
42,DOCU,DocuSign Inc,Technology,Software - Application
43,DRIO,DarioHealth Corp,Healthcare,Health Information Services
44,DSGX,Descartes Systems Group Inc,Technology,Software - Application
45,DTSS,Datasea Inc,Technology,Software - Infrastructure
46,DXPE,"DXP Enterprises, Inc",Industrials,Industrial Distribution
47,EDAP,EDAP TMS S.A. ADR,Healthcare,Medical Distribution
48,EGBN,Eagle Bancorp Inc (MD),Financial,Banks - Regional
49,ENTA,Enanta Pharmaceuticals Inc,Healthcare,Biotechnology
50,ESCA,"Escalade, Inc",Consumer Cyclical,Leisure
51,ETON,Eton Pharmaceuticals Inc,Healthcare,Drug Manufacturers - Specialty & Generic
52,EXC,Exelon Corp,Utilities,Utilities - Regulated Electric
53,EXTR,Extreme Networks Inc,Technology,Communication Equipment
54,FCA,First Trust China AlphaDEX Fund,Financial,Exchange Traded Fund
55,FITB,Fifth Third Bancorp,Financial,Banks - Regional
56,FLWS,1-800 Flowers.com Inc,Consumer Cyclical,Specialty Retail
57,FTAI,FTAI Aviation Ltd,Industrials,Rental & Leasing Services
58,FTDR,Frontdoor Inc,Consumer Cyclical,Personal Services
59,FTEK,Fuel Tech Inc,Industrials,Pollution & Treatment Controls
60,GLDD,Great Lakes Dredge & Dock Corporation,Industrials,Engineering & Construction
61,GLRE,Greenlight Capital Re Ltd,Financial,Insurance - Reinsurance
62,GMAB,Genmab ADR,Healthcare,Biotechnology
63,GNOM,Global X Genomics & Biotechnology ETF,Financial,Exchange Traded Fund
64,GNSS,Genasys Inc,Technology,Scientific & Technical Instruments
65,GRCE,Grace Therapeutics Inc,Healthcare,Biotechnology
66,HAS,"Hasbro, Inc",Consumer Cyclical,Leisure
67,HCSG,"Healthcare Services Group, Inc",Healthcare,Medical Care Facilities
68,HIMX,Himax Technologies ADR,Technology,Semiconductors
69,HQY,Healthequity Inc,Healthcare,Health Information Services
70,IBKR,Interactive Brokers Group Inc,Financial,Capital Markets
71,ICLN,iShares Global Clean Energy ETF,Financial,Exchange Traded Fund
72,IMMR,Immersion Corp,Technology,Software - Application
73,IMTE,Integrated Media Technology Limited,Technology,Electronic Components
74,INCY,Incyte Corp,Healthcare,Biotechnology
75,IRTC,iRhythm Technologies Inc,Healthcare,Medical Devices
76,JBLU,Jetblue Airways Corp,Industrials,Airlines
77,JOYY,JOYY Inc ADR,Communication Services,Internet Content & Information
78,KINS,Kingstone Cos. Inc,Financial,Insurance - Property & Casualty
79,KRMD,KORU Medical Systems Inc,Healthcare,Medical Instruments & Supplies
80,KRNT,Kornit Digital Ltd,Industrials,Specialty Industrial Machinery
81,KRUS,Kura Sushi USA Inc,Consumer Cyclical,Restaurants
82,LBTYA,Liberty Global Ltd,Communication Services,Telecom Services
83,LDWY,Lendway Inc,Communication Services,Advertising Agencies
84,LFWD,Lifeward Ltd,Healthcare,Medical Devices
85,LGIH,LGI Homes Inc,Consumer Cyclical,Residential Construction
86,LGO,Largo Inc,Basic Materials,Other Industrial Metals & Mining
87,LTRX,Lantronix Inc,Technology,Communication Equipment
88,LWLG,Lightwave Logic Inc,Basic Materials,Specialty Chemicals
89,MAAS,Maase Inc,Financial,Asset Management
90,MBAI,Check-Cap Ltd,Healthcare,Diagnostics & Research
91,MELI,MercadoLibre Inc,Consumer Cyclical,Internet Retail
92,MEOH,Methanex Corp,Basic Materials,Chemicals
93,MOMO,Hello Group Inc ADR,Communication Services,Internet Content & Information
94,MRVL,Marvell Technology Inc,Technology,Semiconductors
95,NBN,Northeast Bank,Financial,Banks - Regional
96,NCMI,National Cinemedia Inc,Communication Services,Advertising Agencies
97,NFTY,First Trust India Nifty 50 Equal Weight ETF,Financial,Exchange Traded Fund
98,NVEC,NVE Corp,Technology,Semiconductors
99,NWSA,News Corp,Communication Services,Entertainment
100,NXST,Nexstar Media Group Inc,Communication Services,Broadcasting
101,OFLX,Omega Flex Inc,Industrials,Specialty Industrial Machinery
102,PCAR,Paccar Inc,Industrials,Farm & Heavy Construction Machinery
103,PENG,Penguin Solutions Inc,Technology,Information Technology Services
104,PLMR,Palomar Holdings Inc,Financial,Insurance - Property & Casualty
105,POWW,Outdoor Holding Co,Industrials,Aerospace & Defense
106,PPC,Pilgrim's Pride Corp,Consumer Defensive,Packaged Foods
107,PRDO,Perdoceo Education Corporation,Consumer Defensive,Education & Training Services
108,PTC,PTC Inc,Technology,Software - Application
109,PYPL,PayPal Holdings Inc,Financial,Credit Services
110,QCOM,"Qualcomm, Inc",Technology,Semiconductors
111,QNCX,Quince Therapeutics Inc,Healthcare,Biotechnology
112,QVCGA,QVC Group Inc,Consumer Cyclical,Internet Retail
113,RARE,Ultragenyx Pharmaceutical Inc,Healthcare,Biotechnology
114,RCKY,"Rocky Brands, Inc",Consumer Cyclical,Footwear & Accessories
115,RGLD,"Royal Gold, Inc",Basic Materials,Gold
116,RNRG,Global X Renewable Energy Producers ETF,Financial,Exchange Traded Fund
117,RRBI,Red River Bancshares Inc,Financial,Banks - Regional
118,SATS,EchoStar Corp,Communication Services,Telecom Services
119,SKYE,Skye Bioscience Inc,Healthcare,Biotechnology
120,SLE,Super League Enterprise Inc,Communication Services,Internet Content & Information
121,SLNH,Soluna Holdings Inc,Financial,Capital Markets
122,SMPL,Simply Good Foods Co,Consumer Defensive,Packaged Foods
123,SPFI,South Plains Financial Inc,Financial,Banks - Regional
124,SPNS,Sapiens International Corp NV,Technology,Software - Application
125,STGW,Stagwell Inc,Communication Services,Advertising Agencies
126,STRT,Strattec Security Corp,Consumer Cyclical,Auto Parts
127,TACT,Transact Technologies Inc,Technology,Computer Hardware
128,TBCH,Turtle Beach Corp,Technology,Consumer Electronics
129,THRM,Gentherm Inc,Consumer Cyclical,Auto Parts
130,TLPH,Talphera Inc,Healthcare,Drug Manufacturers - Specialty & Generic
131,TOUR,Tuniu Corp ADR,Consumer Cyclical,Travel Services
132,UCTT,Ultra Clean Hldgs Inc,Technology,Semiconductor Equipment & Materials
133,UNB,"Union Bankshares, Inc",Financial,Banks - Regional
134,UPBD,Upbound Group Inc,Technology,Software - Application
135,VALU,"Value Line, Inc",Financial,Financial Data & Stock Exchanges
136,VNET,VNET Group Inc ADR,Technology,Information Technology Services
137,VRA,Vera Bradley Inc,Consumer Cyclical,Footwear & Accessories
138,VRRM,Verra Mobility Corp,Technology,Information Technology Services
139,VRSK,Verisk Analytics Inc,Industrials,Consulting Services
140,VSEC,VSE Corp,Industrials,Aerospace & Defense
141,VTGN,Vistagen Therapeutics Inc,Healthcare,Biotechnology
142,XENE,Xenon Pharmaceuticals Inc,Healthcare,Biotechnology
143,ZTEK,Zentek Ltd,Healthcare,Medical Instruments & Supplies
144,ZUMZ,Zumiez Inc,Consumer Cyclical,Apparel Retail
0,AAPL,Apple Inc,Technology,Consumer Electronics
1,ACGL,Arch Capital Group Ltd,Financial,Insurance - Diversified
2,ACIC,American Coastal Insurance Corp,Financial,Insurance - Property & Casualty
3,ACNT,Ascent Industries Co,Basic Materials,Chemicals
4,ACWI,iShares MSCI ACWI ETF,Financial,Exchange Traded Fund
5,AEC,Anfield Energy Inc,Energy,Uranium
6,AGNC,AGNC Investment Corp,Real Estate,REIT - Mortgage
7,AIFU,AIFU Inc,Financial,Insurance Brokers
8,ALRS,Alerus Financial Corp,Financial,Banks - Regional
9,AMGN,AMGEN Inc,Healthcare,Drug Manufacturers - General
10,AMKR,AMKOR Technology Inc,Technology,Semiconductor Equipment & Materials
11,AMTX,Aemetis Inc,Basic Materials,Specialty Chemicals
12,APRE,Aprea Therapeutics Inc,Healthcare,Biotechnology
13,ARKR,Ark Restaurants Corp,Consumer Cyclical,Restaurants
14,ARTL,Artelo Biosciences Inc,Healthcare,Biotechnology
15,ASRV,Ameriserv Financial Inc,Financial,Banks - Regional
16,ATOS,Atossa Therapeutics Inc,Healthcare,Biotechnology
17,AVAV,AeroVironment Inc,Industrials,Aerospace & Defense
18,AVBH,Avidbank Holdings Inc,Financial,Banks - Regional
19,AWRE,Aware Inc,Technology,Software - Application
20,BANF,Bancfirst Corp,Financial,Banks - Regional
21,BANR,Banner Corp,Financial,Banks - Regional
22,BGRN,iShares USD Green Bond ETF,Financial,Exchange Traded Fund
23,BHRB,Burke & Herbert Financial Services Corp,Financial,Banks - Regional
24,BLMN,Bloomin Brands Inc,Consumer Cyclical,Restaurants
25,CAC,Camden National Corp,Financial,Banks - Regional
26,CASY,"Casey's General Stores, Inc",Consumer Cyclical,Specialty Retail
27,CCEC,Capital Clean Energy Carriers Corp,Industrials,Marine Shipping
28,CDC,VictoryShares US EQ Income Enhanced Volatility Wtd ETF,Financial,Exchange Traded Fund
29,CDNS,"Cadence Design Systems, Inc",Technology,Software - Application
30,CME,CME Group Inc,Financial,Financial Data & Stock Exchanges
31,CPSS,"Consumer Portfolio Service, Inc",Financial,Credit Services
32,CRAI,CRA International Inc,Industrials,Consulting Services
33,CRIS,Curis Inc,Healthcare,Biotechnology
34,CWST,"Casella Waste Systems, Inc",Industrials,Waste Management
35,CXDO,Crexendo Inc,Communication Services,Telecom Services
36,CZFS,"Citizens Financial Services, Inc",Financial,Banks - Regional
37,DRS,Leonardo DRS Inc,Industrials,Aerospace & Defense
38,DSGR,Distribution Solutions Group Inc,Industrials,Industrial Distribution
39,DWSH,AdvisorShares Dorsey Wright Short ETF -1x Shares,Financial,Exchange Traded Fund
40,DYAI,"Dyadic International Inc., DE",Healthcare,Biotechnology
41,EMXC,IShares MSCI Emerging Markets ex China ETF,Financial,Exchange Traded Fund
42,ERIE,Erie Indemnity Co,Financial,Insurance Brokers
43,FAD,First Trust Multi Cap Growth AlphaDEX Fund,Financial,Exchange Traded Fund
44,FANG,Diamondback Energy Inc,Energy,Oil & Gas E&P
45,FBNC,First Bancorp,Financial,Banks - Regional
46,FNK,First Trust Mid Cap Value AlphaDEX Fund,Financial,Exchange Traded Fund
47,FPA,First Trust Asia Pacific ex-Japan AlphaDEX Fund,Financial,Exchange Traded Fund
48,FRAF,Franklin Financial Services Corp,Financial,Banks - Regional
49,FRSX,Foresight Autonomous Holdings Ltd ADR,Consumer Cyclical,Auto Parts
50,FSCS,First Trust SMID Capital Strength ETF,Financial,Exchange Traded Fund
51,FTXL,First Trust Nasdaq Semiconductor ETF,Financial,Exchange Traded Fund
52,GBLI,Global Indemnity Group LLC,Financial,Insurance - Property & Casualty
53,GLDI,UBS AG ETRACS Gold Shares Covered Call ETNs,Financial,Exchange Traded Fund
54,HLNE,Hamilton Lane Inc,Financial,Asset Management
55,HTHT,H World Group Limited ADR,Consumer Cyclical,Lodging
56,IGIB,iShares Trust iShares 5-10 Year Investment Grade Corporate Bond ETF,Financial,Exchange Traded Fund
57,ILPT,Industrial Logistics Properties Trust,Real Estate,REIT - Industrial
58,INDY,iShares India 50 ETF,Financial,Exchange Traded Fund
59,INOD,Innodata Inc,Technology,Information Technology Services
60,IPKW,Invesco International BuyBack Achievers TM ETF,Financial,Exchange Traded Fund
61,JKHY,"Jack Henry & Associates, Inc",Technology,Information Technology Services
62,KBWY,Invesco KBW Premium Yield Equity REIT ETF,Financial,Exchange Traded Fund
63,KDP,Keurig Dr Pepper Inc,Consumer Defensive,Beverages - Non-Alcoholic
64,KIDS,OrthoPediatrics corp,Healthcare,Medical Devices
65,KMDA,Kamada Ltd,Healthcare,Drug Manufacturers - Specialty & Generic
66,LAUR,Laureate Education Inc,Consumer Defensive,Education & Training Services
67,LKQ,LKQ Corp,Consumer Cyclical,Auto Parts
68,LMFA,LM Funding America Inc,Financial,Credit Services
69,MGNX,Macrogenics Inc,Healthcare,Biotechnology
70,MSEX,Middlesex Water Co,Utilities,Utilities - Regulated Water
71,NECB,NorthEast Community Bancorp Inc,Financial,Banks - Regional
72,NICE,NICE Ltd ADR,Technology,Software - Application
73,NSIT,Insight Enterprises Inc,Technology,Electronics & Computer Distribution
74,NWS,News Corp,Communication Services,Entertainment
75,OCUL,Ocular Therapeutix Inc,Healthcare,Biotechnology
76,OXSQ,Oxford Square Capital Corp,Financial,Asset Management
77,PAA,Plains All American Pipeline LP,Energy,Oil & Gas Midstream
78,PAYX,Paychex Inc,Technology,Software - Application
79,PCYO,Pure Cycle Corp,Utilities,Utilities - Regulated Water
80,PIE,Invesco Dorsey Wright Emerging Markets Momentum ETF,Financial,Exchange Traded Fund
81,PLAB,"Photronics, Inc",Technology,Semiconductor Equipment & Materials
82,PLCE,Childrens Place Inc,Consumer Cyclical,Apparel Manufacturing
83,PLXS,Plexus Corp,Technology,Electronic Components
84,POWI,Power Integrations Inc,Technology,Semiconductors
85,QAT,iShares MSCI Qatar ETF,Financial,Exchange Traded Fund
86,RAIL,FreightCar America Inc,Industrials,Railroads
87,RCEL,AVITA Medical Inc,Healthcare,Medical Devices
88,RDVY,First Trust Rising Dividend Achievers ETF,Financial,Exchange Traded Fund
89,RMR,RMR Group Inc,Real Estate,Real Estate Services
90,ROP,Roper Technologies Inc,Technology,Software - Application
91,SCSC,"Scansource, Inc",Technology,Electronics & Computer Distribution
92,SCWO,374Water Inc,Industrials,Pollution & Treatment Controls
93,SFNC,Simmons First National Corp,Financial,Banks - Regional
94,SKYW,Skywest Inc,Industrials,Airlines
95,SMID,Smith-Midland Corp,Basic Materials,Building Materials
96,SSKN,STRATA Skin Sciences Inc,Healthcare,Medical Devices
97,STNE,StoneCo Ltd,Technology,Software - Infrastructure
98,STRL,Sterling Infrastructure Inc,Industrials,Engineering & Construction
99,TER,"Teradyne, Inc",Technology,Semiconductor Equipment & Materials
100,TROW,T. Rowe Price Group Inc,Financial,Asset Management
101,TSBK,"Timberland Bancorp, Inc",Financial,Banks - Regional
102,USOI,UBS AG ETRACS Crude Oil Shares Covered Call ETNs,Financial,Exchange Traded Fund
103,VNQI,Vanguard Global ex-U.S. Real Estate ETF,Financial,Exchange Traded Fund
104,VS,Versus Systems Inc,Technology,Software - Application
105,WRLD,World Acceptance Corp,Financial,Credit Services
106,WSBC,"Wesbanco, Inc",Financial,Banks - Regional
